family,system,macroF1_p0,macroF1_p75,abs_drop,AUDC
Non-tree,LogReg,0.9612023730333012,0.8851022056079164,0.07610016742538483,0.9665723386755036
Non-tree,MLP,0.9585277403083137,0.8572487244472774,0.10127901586103627,0.9589462865019973
Tree,Bagging,0.981339263006292,0.9530556471788053,0.02828361582748673,0.9901379422147861
Tree,DecisionTree,0.9801767882775669,0.9499708901319963,0.03020589814557062,0.9871545033476092
Tree,AdaBoost,0.9928151417293829,0.9450299251590399,0.04778521657034296,0.9851555553268855
Tree,XGBoost,0.9899789773991947,0.9463329713605712,0.043646006038623564,0.9846126554256751
Tree,RUSBoost,0.8912037791618826,0.8552437289501231,0.03596005021175952,0.9831028941038383
