p,aware,clean
0.0,0.9928151417293829,0.9957757600196007
0.1,0.9910334136838758,0.943280872178631
0.25,0.9893540160860661,0.8321020126495658
0.5,0.9761399710065392,0.606846280852105
0.75,0.9450299251590399,0.3712722351709793
