p,XGBoost,XGBoost_native
0.0,0.9899789773991947,0.9905145337830902
0.1,0.9891332464396596,0.9893175517010983
0.25,0.9836233472676266,0.9870013321237281
0.5,0.9716014154671129,0.979410446129912
0.75,0.9463329713605712,0.9651850465382628
