,macro_f1_clean,macro_f1_clean,AUDC,AUDC
,mean,std,mean,std
system,,,,
AdaBoost,0.9928151417293829,0.0028826537620678066,0.9851555553268855,0.004854388309120945
Bagging,0.981339263006292,0.006131270988081899,0.9901379422147861,0.003649509974322485
DecisionTree,0.9801767882775669,0.005512001834718633,0.9871545033476092,0.00458444260234169
LogReg,0.9612023730333012,0.006739971140256338,0.9665723386755036,0.00729653104450936
MLP,0.9585277403083137,0.010119068966750702,0.9589462865019973,0.005120838239892022
PolicyLOCF,1.0,0.0,0.7618143909726038,0.006077574705435583
RUSBoost,0.8912037791618826,0.03223850509663141,0.9831028941038383,0.020957180029763267
XGBoost,0.9899789773991947,0.0031752431850948677,0.9846126554256751,0.005975320538034109
